,Datetime,Tweet Id,Text,Username
0,2021-05-28 15:27:01+00:00,1398299778547519495,"560011 on 29-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at Cloudnine Fertility- Jayanagar(Capacity: 40, Dose 1: 40 slots left, Dose 2: 0 slots left)",BloreVaccine
1,2021-05-28 14:45:22+00:00,1398289301104824329,"560066 on 29-05-2021 COVAXIN available for 18 to 44 in #Karnataka, #BBMP at RXDX WHITE FIELD S1 P3(Capacity: 50, Dose 1: 50 slots left, Dose 2: 0 slots left)",BloreVaccine
2,2021-05-28 14:42:05+00:00,1398288471152726018,"560066 on 30-05-2021 COVAXIN available for 18 to 44 in #Karnataka, #BBMP at RXDX WHITE FIELD S1 P3(Capacity: 50, Dose 1: 50 slots left, Dose 2: 0 slots left)",BloreVaccine
3,2021-05-28 14:39:09+00:00,1398287735333396486,"560066 on 29-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at CLOUDNINE WHITEFIELD P3(Capacity: 50, Dose 1: 50 slots left, Dose 2: 0 slots left)",BloreVaccine
4,2021-05-28 14:13:18+00:00,1398281229389099008,"560098 on 29-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at FORTIS HOSPITAL NAGARABHAVI(Capacity: 50, Dose 1: 50 slots left, Dose 2: 0 slots left)",BloreVaccine
5,2021-05-28 14:09:34+00:00,1398280289286119426,"560047 on 29-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at ST PHILOMENA HOSPITAL BLOCK 1(Capacity: 200, Dose 1: 180 slots left, Dose 2: 20 slots left)",BloreVaccine
6,2021-05-28 13:57:56+00:00,1398277361884401675,"560066 on 29-05-2021 COVAXIN available for 18 to 44 in #Karnataka, #BBMP at RXDX WHITE FIELD S1 P3(Capacity: 100, Dose 1: 100 slots left, Dose 2: 0 slots left)",BloreVaccine
7,2021-05-28 13:36:17+00:00,1398271913361776644,"560076 on 29-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at Fortis Hospital BG ROAD P3(Capacity: 150, Dose 1: 150 slots left, Dose 2: 0 slots left)",BloreVaccine
8,2021-05-28 13:03:07+00:00,1398263566101139463,"560011 on 29-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at Narayana Multispecialty Clinic(Capacity: 30, Dose 1: 15 slots left, Dose 2: 15 slots left)",BloreVaccine
9,2021-05-28 12:51:17+00:00,1398260588862603288,"560008 on 29-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at KIDS CLINIC INDIA PVT LTD(OAR)(Capacity: 100, Dose 1: 50 slots left, Dose 2: 50 slots left)",BloreVaccine
10,2021-05-28 12:27:53+00:00,1398254698302345224,"560103 on 29-05-2021 COVAXIN available for 18 to 44 in #Karnataka, #BBMP at Apollo Clinic Bellandur P3(Capacity: 25, Dose 1: 12 slots left, Dose 2: 13 slots left)",BloreVaccine
11,2021-05-28 12:24:12+00:00,1398253773642899459,"560103 on 28-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at Apollo Clinic Bellandur P3(Capacity: 25, Dose 1: 12 slots left, Dose 2: 13 slots left)",BloreVaccine
